库的数据列NHG202501.AGF

202501 Glasses from Hubei New Huaguang Information Materials Co.,Ltd

玻璃总数: 531
标准玻璃       : 528
首选玻璃      : 0
废弃玻璃       : 3
特殊玻璃        : 0
熔炼玻璃           : 0

Name                	Stat	        Nd	        Vd	      dPgF	   密度	 熔炼	成本	  CR	  FR	  SR	  AR	  PR	λ最小	λ最大	       TCE	            D0	            D1	            D2	            E0	            E1	           Ltk	    公式
S-FK61              	标准	  1.496996	 81.555509	  0.030500	  3.670000	    1	72.5	 1.0	   ?	 2.0	 2.0	 2.0	  0.280000	  2.400000	 12.400000	  -1.90000E-05	  -2.71000E-09	  -2.90000E-11	   3.52000E-07	   9.31000E-11	   2.28000E-01	     Schott	A0	   2.218079520E+00	A1	  -5.679221130E-03	A2	   8.287561390E-03	A3	   9.668914340E-05	A4	   3.566686430E-06	A5	  -3.630651130E-07	environmentally improved optical glass
H-FK61              	标准	  1.496996	 81.555509	  0.030500	  3.670000	    1	72.5	 1.0	   ?	 2.0	 2.0	 2.0	  0.280000	  2.400000	 12.400000	  -1.90000E-05	  -2.71000E-09	  -2.90000E-11	   3.52000E-07	   9.31000E-11	   2.28000E-01	     Schott	A0	   2.218079520E+00	A1	  -5.679221130E-03	A2	   8.287561390E-03	A3	   9.668914340E-05	A4	   3.566686430E-06	A5	  -3.630651130E-07	environmentally improved optical glass
S-FK69              	标准	  1.592828	 68.629300	  0.014500	  4.070000	    1	90.0	 1.0	   ?	 1.0	 2.0	 2.0	  0.280000	  2.400000	 11.300000	  -1.56000E-05	   2.44000E-09	  -1.24000E-11	   2.89000E-07	   2.96000E-10	   2.33000E-01	     Schott	A0	   2.502105840E+00	A1	  -7.294373680E-03	A2	   1.228738580E-02	A3	   2.574633630E-04	A4	  -1.163912650E-05	A5	   6.155530040E-07	environmentally improved optical glass
H-FK69              	标准	  1.592828	 68.629300	  0.014500	  4.070000	    1	90.0	 1.0	   ?	 1.0	 2.0	 2.0	  0.280000	  2.400000	 11.300000	  -1.56000E-05	   2.44000E-09	  -1.24000E-11	   2.89000E-07	   2.96000E-10	   2.33000E-01	     Schott	A0	   2.502105840E+00	A1	  -7.294373680E-03	A2	   1.228738580E-02	A3	   2.574633630E-04	A4	  -1.163912650E-05	A5	   6.155530040E-07	environmentally improved optical glass
S-FK76              	标准	  1.550318	 75.508716	  0.021000	  4.130000	    2	154.0	 1.0	   ?	 1.0	 2.0	 2.0	  0.280000	  2.400000	 12.200000	  -1.79000E-05	   1.92000E-08	  -3.61000E-11	   4.81000E-07	   3.20000E-10	   2.11000E-01	     Schott	A0	   2.374908870E+00	A1	  -6.345943540E-03	A2	   1.005592370E-02	A3	   2.326969300E-04	A4	  -1.510936260E-05	A5	   7.743518920E-07	environmentally improved optical glass
H-FK76              	标准	  1.550318	 75.508716	  0.021000	  4.130000	    2	154.0	 1.0	   ?	 1.0	 2.0	 2.0	  0.280000	  2.400000	 12.200000	  -1.79000E-05	   1.92000E-08	  -3.61000E-11	   4.81000E-07	   3.20000E-10	   2.11000E-01	     Schott	A0	   2.374908870E+00	A1	  -6.345943540E-03	A2	   1.005592370E-02	A3	   2.326969300E-04	A4	  -1.510936260E-05	A5	   7.743518920E-07	environmentally improved optical glass
S-FK90              	标准	  1.458596	 90.172097	  0.045000	  3.640000	    1	126.5	 1.0	   ?	 2.0	 4.0	 2.0	  0.280000	  2.400000	 13.400000	  -2.37000E-05	   5.32000E-09	  -4.63000E-11	   9.51000E-07	  -1.08000E-09	   2.02000E-08	     Schott	A0	   2.108669770E+00	A1	  -4.815893970E-03	A2	   7.024786090E-03	A3	  -2.486670240E-05	A4	   1.781854080E-05	A5	  -1.098745070E-06	environmentally improved optical glass
H-FK90              	标准	  1.458596	 90.172097	  0.045000	  3.640000	    1	126.5	 1.0	   ?	 2.0	 4.0	 2.0	  0.280000	  2.400000	 13.400000	  -2.37000E-05	   5.32000E-09	  -4.63000E-11	   9.51000E-07	  -1.08000E-09	   2.02000E-08	     Schott	A0	   2.108669770E+00	A1	  -4.815893970E-03	A2	   7.024786090E-03	A3	  -2.486670240E-05	A4	   1.781854080E-05	A5	  -1.098745070E-06	environmentally improved optical glass
S-FK95              	标准	  1.437001	 95.123340	  0.047500	  3.560000	    1	140.0	 1.0	   ?	 3.0	 4.0	 3.0	  0.280000	  2.400000	 14.300000	  -2.28000E-05	  -4.73000E-09	   3.04000E-11	   6.79000E-07	  -1.59000E-10	   1.98000E-07	     Schott	A0	   2.048318170E+00	A1	  -4.486125910E-03	A2	   6.222488730E-03	A3	  -7.985810300E-06	A4	   1.221184950E-05	A5	  -7.394643440E-07	environmentally improved optical glass
H-FK95              	标准	  1.437001	 95.123340	  0.047500	  3.560000	    1	140.0	 1.0	   ?	 3.0	 4.0	 3.0	  0.280000	  2.400000	 14.300000	  -2.28000E-05	  -4.73000E-09	   3.04000E-11	   6.79000E-07	  -1.59000E-10	   1.98000E-07	     Schott	A0	   2.048318170E+00	A1	  -4.486125910E-03	A2	   6.222488730E-03	A3	  -7.985810300E-06	A4	   1.221184950E-05	A5	  -7.394643440E-07	environmentally improved optical glass
