库的数据列CDGM-ZEMAX202409.AGF

Updated Sep 2024

玻璃总数: 341
标准玻璃       : 241
首选玻璃      : 60
废弃玻璃       : 40
特殊玻璃        : 0
熔炼玻璃           : 0

Name                	Stat	        Nd	        Vd	      dPgF	   密度	 熔炼	成本	  CR	  FR	  SR	  AR	  PR	λ最小	λ最大	       TCE	            D0	            D1	            D2	            E0	            E1	           Ltk	    公式
H-K5                	标准	  1.510072	 63.364525	  0.001200	  2.470000	    4	 5.1	 1.0	   ?	   ?	   ?	   ?	  0.365000	  1.014000	  7.500000	  -2.53000E-07	   1.48000E-08	  -9.74000E-12	   4.45000E-07	   7.77000E-10	   2.02000E-01	     Schott	A0	   2.250183560E+00	A1	  -8.940661560E-03	A2	   1.143178290E-02	A3	  -7.333932780E-05	A4	   3.496166950E-05	A5	  -1.801007750E-06	                    
H-K6                	标准	  1.511125	 60.478905	  0.000000	  2.530000	    4	 5.1	 2.0	   ?	   ?	   ?	   ?	  0.365000	  1.014000	  8.500000	  -2.84000E-06	   1.68000E-08	  -6.96000E-11	   4.72000E-07	  -6.38000E-11	   2.17000E-01	     Schott	A0	   2.250245160E+00	A1	  -7.587148190E-03	A2	   1.263037780E-02	A3	  -2.290018190E-04	A4	   5.802259390E-05	A5	  -2.840946040E-06	                    
H-K7                	标准	  1.514780	 60.634896	  0.000100	  2.540000	    4	 5.1	 2.0	   ?	   ?	   ?	   ?	  0.302000	  2.325000	  8.500000	  -3.57000E-06	   1.18000E-08	  -3.26000E-11	   4.60000E-07	   7.20000E-10	   2.13000E-01	 Sellmeier1	K1	   8.548024520E-01	L1	   1.032042600E+02	K2	   4.422268260E-01	L2	   1.796430590E-02	K3	   8.204840680E-01	L3	   4.338316230E-03	                    
H-K8                	标准	  1.516020	 56.794825	 -0.002400	  2.580000	    4	 5.0	 2.0	   ?	   ?	   ?	   ?	  0.302000	  2.325000	  8.700000	   8.89000E-07	   1.59000E-08	  -3.21000E-11	   5.87000E-07	   4.31000E-10	   1.97000E-01	 Sellmeier1	K1	   8.904223100E-01	L1	   1.098318730E+02	K2	   2.200991740E-01	L2	   2.472886040E-02	K3	   1.043792200E+00	L3	   6.570416750E-03	                    
H-K9L               	首选	  1.516800	 64.198732	 -0.000500	  2.520000	    1	 1.0	 2.0	   ?	   ?	   ?	   ?	  0.302000	  2.325000	  7.600000	  -1.04000E-06	   1.48000E-08	  -5.17000E-11	   3.85000E-07	   4.55000E-10	   2.11000E-01	 Sellmeier1	K1	   6.145552510E-01	L1	   1.459878840E-02	K2	   6.567750170E-01	L2	   2.877695880E-03	K3	   1.026993460E+00	L3	   1.076530510E+02	                    
H-K9LGT             	首选	  1.516800	 64.198732	 -0.000500	  2.520000	    1	 2.0	 2.0	   ?	   ?	   ?	   ?	  0.302000	  2.325000	  7.600000	  -1.04000E-06	   1.48000E-08	  -5.17000E-11	   3.85000E-07	   4.55000E-10	   2.11000E-01	 Sellmeier1	K1	   6.145552510E-01	L1	   1.459878840E-02	K2	   6.567750170E-01	L2	   2.877695880E-03	K3	   1.026993460E+00	L3	   1.076530510E+02	                    
H-K9L*              	首选	  1.516800	 64.198732	 -0.000500	  2.520000	    1	 1.0	 2.0	   ?	   ?	   ?	   ?	  0.302000	  2.325000	  7.600000	  -1.04000E-06	   1.48000E-08	  -5.17000E-11	   3.85000E-07	   4.55000E-10	   2.11000E-01	 Sellmeier1	K1	   6.145552510E-01	L1	   1.459878840E-02	K2	   6.567750170E-01	L2	   2.877695880E-03	K3	   1.026993460E+00	L3	   1.076530510E+02	                    
H-K9LA              	首选	  1.516800	 64.198695	 -0.001300	  2.510000	    1	 1.0	 1.0	   ?	   ?	   ?	   ?	  0.302000	  2.325000	  7.200000	   9.03000E-07	   1.85000E-08	  -2.98000E-11	   4.55000E-07	   1.00000E-10	   1.82000E-01	 Sellmeier1	K1	   6.847430720E-01	L1	   3.135397410E-03	K2	   5.867723760E-01	L2	   1.481013300E-02	K3	   1.148042480E+00	L3	   1.165837920E+02	                    
H-K9LAGT            	标准	  1.516800	 64.198695	 -0.001300	  2.510000	    1	 2.0	 1.0	   ?	   ?	   ?	   ?	  0.302000	  2.325000	  7.200000	   9.03000E-07	   1.85000E-08	  -2.98000E-11	   4.55000E-07	   1.00000E-10	   1.82000E-01	 Sellmeier1	K1	   6.847430720E-01	L1	   3.135397410E-03	K2	   5.867723760E-01	L2	   1.481013300E-02	K3	   1.148042480E+00	L3	   1.165837920E+02	                    
H-K10               	标准	  1.518180	 58.949331	  0.000000	  2.500000	    3	 3.6	 3.0	   ?	   ?	   ?	   ?	  0.313000	  2.325000	  9.000000	  -3.97000E-06	   2.28000E-08	  -5.39000E-11	   4.17000E-07	  -3.71000E-10	   2.54000E-01	 Sellmeier1	K1	   2.317606680E-01	L1	   2.378407110E-02	K2	   1.039935080E+00	L2	   6.152712690E-03	K3	   9.669668780E-01	L3	   1.177401170E+02	                    
H-K11               	标准	  1.526380	 60.157370	  0.000500	  2.690000	    4	 4.7	 3.0	   ?	   ?	   ?	   ?	  0.302000	  2.325000	  9.400000	  -5.95000E-06	   1.38000E-08	  -4.14000E-11	   5.05000E-07	   5.13000E-10	   1.94000E-01	 Sellmeier1	K1	   7.955369360E-01	L1	   4.008732190E-03	K2	   5.009492520E-01	L2	   1.754366550E-02	K3	   9.050522350E-01	L3	   1.112870630E+02	                    
H-K12               	标准	  1.533589	 55.469983	 -0.002300	  2.720000	    4	 4.7	   ?	   ?	   ?	   ?	   ?	  0.365000	  1.014000	  9.200000	  -1.57000E-06	   1.35000E-08	  -5.16000E-11	   7.91000E-07	   9.19000E-10	   8.60000E-02	     Schott	A0	   2.315064250E+00	A1	  -8.271561660E-03	A2	   1.295355590E-02	A3	   2.685051990E-04	A4	  -5.460282680E-06	A5	   6.243256210E-07	                    
H-K50               	标准	  1.522490	 59.480754	 -0.000300	  2.520000	    4	 2.9	 1.0	   ?	   ?	   ?	   ?	  0.302000	  2.325000	  7.900000	  -1.52000E-06	   1.80000E-08	  -5.12000E-11	   4.72000E-07	   6.41000E-10	   1.93000E-01	 Sellmeier1	K1	   1.195247010E+00	L1	   7.640771040E-03	K2	   8.950769330E-02	L2	   3.180857060E-02	K3	   9.202174430E-01	L3	   1.093120540E+02	                    
H-K51               	首选	  1.523070	 58.639792	 -0.000700	  2.530000	    1	 1.6	 2.0	   ?	   ?	   ?	   ?	  0.365000	  2.325000	  8.000000	  -7.23000E-07	   1.38000E-08	  -8.37000E-11	   5.74000E-07	   1.43000E-09	   1.69000E-01	 Sellmeier1	K1	   9.601618080E-01	L1	   1.162424800E+02	K2	   1.183689630E+00	L2	   1.180299970E-02	K3	   1.023382430E-01	L3	  -1.895757770E-02	                    
