"File","Name","Nd","Vd","dPgF","Density"
"CDGM-ZEMAX202409.txt","H-LAK50A","1.6516","58.403057","-0.005","3.5"
"CDGM-ZEMAX202409.txt","H-LAK51A","1.6968","55.526357","-0.007","3.56"
"CDGM-ZEMAX202409.txt","H-LAK52","1.72916","54.684737","-0.0078","4.02"
"CDGM-ZEMAX202409.txt","H-LAK53B","1.755","52.322058","-0.0091","4.22"
"CDGM-ZEMAX202409.txt","H-LAK53A","1.755","52.320574","-0.0087","4.39"
"CDGM-ZEMAX202409.txt","H-LAK54","1.734","51.485829","-0.0086","4.01"
"CDGM-ZEMAX202409.txt","H-LAK59A","1.691","54.815309","-0.0052","3.94"
"CDGM-ZEMAX202409.txt","H-LAK61","1.740999","52.676196","-0.0096","4.1"
"CDGM-ZEMAX202409.txt","H-LAK67","1.67","51.738482","-0.0045","3.73"
"CDGM-ZEMAX202409.txt","H-LAK71","1.703","52.406734","-0.0069","3.75"
"CDGM-ZEMAX202409.txt","H-LAK72","1.713","51.80665","-0.0045","4.34"
"CDGM-ZEMAX202409.txt","H-TK9","1.62075","60.300914","0.0118","4.37"
"CDGM-ZEMAX202409.txt","H-KF6","1.51742","52.149249","0.0022","2.47"
"CDGM-ZEMAX202409.txt","H-QF1","1.54814","45.820011","0.0012","2.58"
"CDGM-ZEMAX202409.txt","H-QF3","1.57501","41.504715","0.0025","2.6"
"CDGM-ZEMAX202409.txt","H-QF6A","1.53172","48.839833","0.0037","2.52"
"CDGM-ZEMAX202409.txt","H-QF8","1.54072","47.230007","0.0002","2.54"
"CDGM-ZEMAX202409.txt","H-QF14","1.59551","39.222748","0.0021","2.62"
"CDGM-ZEMAX202409.txt","H-QF50","1.58144","40.888972","0.0013","2.6"
"CDGM-ZEMAX202409.txt","H-QF50A","1.58144","40.746424","0.0014","2.61"
"CDGM-ZEMAX202409.txt","QF50","1.58144","40.885954","-0.0018","3.23"
"CDGM-ZEMAX202409.txt","H-QF56","1.56732","42.810117","0.0028","2.62"
"CDGM-ZEMAX202409.txt","H-F1","1.60342","38.010877","0.0027","2.63"
"CDGM-ZEMAX202409.txt","H-F2","1.61293","37.004441","0.004","2.65"
"CDGM-ZEMAX202409.txt","H-F3","1.61659","36.651688","0.0044","2.68"
"CDGM-ZEMAX202409.txt","H-F4","1.62005","36.345886","0.0047","2.67"
"CDGM-ZEMAX202409.txt","H-F5","1.62435","35.923444","0.0046","2.69"
"CDGM-ZEMAX202409.txt","H-F6","1.62495","35.585173","0.0047","2.69"
"CDGM-ZEMAX202409.txt","H-F13","1.62588","35.698971","0.0046","2.69"
"CDGM-ZEMAX202409.txt","H-F51","1.6398","34.46457","0.0054","2.76"
"CDGM-ZEMAX202409.txt","H-F52","1.61385","34.604703","0.0082","2.74"
"CDGM-ZEMAX202409.txt","H-BAF2","1.5697","49.452646","0.0002","2.82"
"CDGM-ZEMAX202409.txt","H-BAF3","1.57957","53.711637","-0.001","3.14"
"CDGM-ZEMAX202409.txt","H-BAF4","1.58267","46.597786","0.0005","2.91"
"CDGM-ZEMAX202409.txt","H-BAF5","1.60562","43.875621","0.0013","2.97"
"CDGM-ZEMAX202409.txt","H-BAF6","1.60801","46.202418","0.001","3.11"
"CDGM-ZEMAX202409.txt","H-BAF7","1.61413","39.985319","0.0015","2.88"
"CDGM-ZEMAX202409.txt","H-BAF8","1.62604","39.071631","0.0019","2.96"
"CDGM-ZEMAX202409.txt","H-ZBAF1","1.6223","53.170869","-0.0009","3.57"
"CDGM-ZEMAX202409.txt","H-ZBAF3","1.65691","51.12138","-0.0006","3.77"
"CDGM-ZEMAX202409.txt","H-ZBAF4","1.66426","35.484251","0.0042","3.11"
"CDGM-ZEMAX202409.txt","H-ZBAF5","1.67103","47.288963","-0.002","3.58"
"CDGM-ZEMAX202409.txt","H-ZBAF16","1.66672","48.421731","-0.0026","3.59"
"CDGM-ZEMAX202409.txt","H-ZBAF20","1.70154","41.148468","0.0004","3.64"
"CDGM-ZEMAX202409.txt","H-ZBAF21","1.72341","37.991564","0.0028","3.62"
"CDGM-ZEMAX202409.txt","H-ZBAF50","1.65844","50.852265","-0.0013","3.77"
"CDGM-ZEMAX202409.txt","H-ZBAF52","1.67003","47.19506","-0.002","3.57"
"CDGM-ZEMAX202409.txt","H-ZF1","1.64769","33.840317","0.0049","2.73"
"CDGM-ZEMAX202409.txt","H-ZF1A","1.64769","33.887993","0.0058","2.79"
"CDGM-ZEMAX202409.txt","H-ZF2","1.6727","32.171186","0.0073","2.9"
"CDGM-ZEMAX202409.txt","H-ZF3","1.71736","29.49911","0.0093","3.06"
"CDGM-ZEMAX202409.txt","H-ZF4A","1.72825","28.318797","0.0107","3.05"
"CDGM-ZEMAX202409.txt","H-ZF4AGT","1.72825","28.318797","0.0107","3.05"
"CDGM-ZEMAX202409.txt","H-ZF5","1.74","28.295649","0.0104","3.16"
"CDGM-ZEMAX202409.txt","H-ZF6","1.7552","27.530047","0.0111","3.24"
"CDGM-ZEMAX202409.txt","ZF6","1.755205","27.546239","0.002","4.78"
"CDGM-ZEMAX202409.txt","H-ZF7LA","1.80518","25.456256","0.0127","3.35"
"CDGM-ZEMAX202409.txt","H-ZF7LAGT","1.80518","25.456256","0.0127","3.35"
"CDGM-ZEMAX202409.txt","ZF7","1.806277","25.380144","0.0073","5.19"
"CDGM-ZEMAX202409.txt","ZF7L","1.80519","25.471232","0.0074","5.19"
"CDGM-ZEMAX202409.txt","ZF7LGT","1.80519","25.471232","0.0074","5.19"
"CDGM-ZEMAX202409.txt","ZF7LTT","1.80519","25.471232","0.0074","5.19"
"CDGM-ZEMAX202409.txt","H-ZF10","1.68893","31.16057","0.0074","2.92"
"CDGM-ZEMAX202409.txt","H-ZF11","1.69894","30.05045","0.0084","2.95"
"CDGM-ZEMAX202409.txt","H-ZF12","1.76182","26.607986","0.0128","3.17"
"CDGM-ZEMAX202409.txt","H-ZF13","1.78472","25.720045","0.0138","3.25"
"CDGM-ZEMAX202409.txt","H-ZF13GT","1.78472","25.720045","0.0138","3.25"
"CDGM-ZEMAX202409.txt","H-ZF39","1.6668","33.053728","0.0061","2.92"
"CDGM-ZEMAX202409.txt","H-ZF50","1.74077","27.760063","0.0109","3.1"
"CDGM-ZEMAX202409.txt","H-ZF52","1.84666","23.784497","0.0155","3.51"
"CDGM-ZEMAX202409.txt","H-ZF52GT","1.84666","23.784497","0.0155","3.51"
"CDGM-ZEMAX202409.txt","H-ZF52TT","1.84666","23.784497","0.0155","3.51"
"CDGM-ZEMAX202409.txt","H-ZF62","1.92286","20.879915","0.0298","4.01"
"CDGM-ZEMAX202409.txt","H-ZF62GT","1.92286","20.879915","0.0298","4.01"
"CDGM-ZEMAX202409.txt","H-ZF71","1.8081","22.698087","0.0224","3.3"
"CDGM-ZEMAX202409.txt","H-ZF71GT","1.8081","22.698087","0.0224","3.3"
"CDGM-ZEMAX202409.txt","H-ZF72A","1.92286","18.895887","0.0363","3.57"
"CDGM-ZEMAX202409.txt","H-ZF72AGT","1.92286","18.895887","0.0363","3.57"
"CDGM-ZEMAX202409.txt","H-ZF73","1.95906","17.472434","0.0426","3.49"
"CDGM-ZEMAX202409.txt","H-ZF73GT","1.95906","17.472434","0.0426","3.49"
"CDGM-ZEMAX202409.txt","H-ZF88","1.94595","17.941964","0.0401","3.52"
"CDGM-ZEMAX202409.txt","H-ZF88GT","1.94595","17.941964","0.0401","3.52"
"CDGM-ZEMAX202409.txt","H-LAF1","1.69362","49.193837","-0.0028","3.85"
"CDGM-ZEMAX202409.txt","H-LAF2","1.717","47.888609","-0.0035","4.25"
"CDGM-ZEMAX202409.txt","H-LAF3B","1.744","44.900027","-0.0041","4.39"
"CDGM-ZEMAX202409.txt","H-LAF4","1.7495","34.989266","0.0031","3.92"
"CDGM-ZEMAX202409.txt","H-LAF4GT","1.7495","34.989266","0.0031","3.92"
"CDGM-ZEMAX202409.txt","H-LAFL5","1.75367","37.491665","0.0001","3.71"
"CDGM-ZEMAX202409.txt","H-LAF6LA","1.757","47.711817","-0.0088","4.06"
"CDGM-ZEMAX202409.txt","H-LAF7","1.78179","37.092107","-0.0009","3.77"
"CDGM-ZEMAX202409.txt","H-LAF10LA","1.788","47.491731","-0.0097","4.3"
"CDGM-ZEMAX202409.txt","H-LAF50B","1.7725","49.598996","-0.0096","4.24"
"CDGM-ZEMAX202409.txt","H-LAF51","1.7","48.079839","-0.0024","3.82"
"CDGM-ZEMAX202409.txt","H-LAF52","1.7859","44.187159","-0.0083","4.39"
"CDGM-ZEMAX202409.txt","H-LAF53","1.7433","49.221808","-0.009","4.16"
"CDGM-ZEMAX202409.txt","H-LAF54","1.799519","42.253294","-0.0064","4.51"
"CDGM-ZEMAX202409.txt","H-LAF55","1.762","40.105472","-0.0027","4.3"
"CDGM-ZEMAX202409.txt","H-LAF62","1.72","43.680739","-0.0027","3.89"
"CDGM-ZEMAX202409.txt","H-ZLAF1","1.80166","44.263459","-0.0078","4.3"
"CDGM-ZEMAX202409.txt","H-ZLAF2A","1.80279","46.761307","-0.0089","4.65"
"CDGM-ZEMAX202409.txt","H-ZLAF3","1.855449","36.59805","-0.0053","4.5"
"CDGM-ZEMAX202409.txt","H-ZLAF4LA","1.91082","35.25034","-0.0024","5.07"
"CDGM-ZEMAX202409.txt","H-ZLAF4LB","1.91082","35.282389","-0.0022","4.84"
"CDGM-ZEMAX202409.txt","H-ZLAF50E","1.804","46.574487","-0.0088","4.44"
"CDGM-ZEMAX202409.txt","H-ZLAF50D","1.804","46.575016","-0.009","4.52"
"CDGM-ZEMAX202409.txt","H-ZLAF51","1.8045","39.635248","-0.005","4.41"
